ID, Epoch,Training_loss_SWD_male,Training_loss_SWD_parasitoid,Training_loss_Small_black_weevil,Training_loss_Unidentified_Arthropod,Training_loss_mean,Training_acc_SWD_male,Training_acc_SWD_parasitoid,Training_acc_Small_black_weevil,Training_acc_Unidentified_Arthropod,Training_acc_mean,Validation_loss_SWD_male,Validation_loss_SWD_parasitoid,Validation_loss_Small_black_weevil,Validation_loss_Unidentified_Arthropod,Validation_loss_mean,Validation_acc_SWD_male,Validation_acc_SWD_parasitoid,Validation_acc_Small_black_weevil,Validation_acc_Unidentified_Arthropod,Validation_acc_mean,
1107-07-05-08,36,0.008611057884991169,0.06729059666395187,0.03939814493060112,0.17403239011764526,0.07220267504453659,1.0,0.988404393196106,0.9928709268569946,0.9325678944587708,0.9785212874412537,0.04942772537469864,0.3008137345314026,0.08377420157194138,0.17455118894577026,0.17431408166885376,1.0,0.9193547964096069,0.9571428894996643,0.9306735992431641,0.9311051964759827,
1107-07-05-08,37,0.008524984121322632,0.0686173066496849,0.03845614194869995,0.16775809228420258,0.07092336565256119,1.0,0.9878070950508118,0.9935147166252136,0.9347103834152222,0.9789750576019287,0.049350593239068985,0.30041319131851196,0.08396073430776596,0.1746465563774109,0.1747303009033203,1.0,0.9193547964096069,0.9571428894996643,0.9306735992431641,0.9304536581039429,
1107-07-05-08,38,0.008573956787586212,0.06720147281885147,0.03857039660215378,0.16423918306827545,0.06996195018291473,1.0,0.9883058667182922,0.9929474592208862,0.9359980821609497,0.9791716933250427,0.04934163764119148,0.30035462975502014,0.08409196138381958,0.17458514869213104,0.17612916231155396,1.0,0.9193547964096069,0.9571428894996643,0.93079674243927,0.930574357509613,
1107-07-05-08,39,0.008577441796660423,0.06754496693611145,0.03958119824528694,0.17071303725242615,0.07171714305877686,1.0,0.988203227519989,0.9929332733154297,0.9324487447738647,0.9783549308776855,0.04924890026450157,0.30005091428756714,0.0842047855257988,0.1746499240398407,0.17541056871414185,1.0,0.9193547964096069,0.9571428894996643,0.9306735992431641,0.9304536581039429,
1107-07-05-08,40,0.008466399274766445,0.06831874698400497,0.038096386939287186,0.1670692414045334,0.07057834416627884,1.0,0.9874449372291565,0.9938762187957764,0.9361059069633484,0.9793381094932556,0.049255307763814926,0.3000601530075073,0.08421069383621216,0.17464029788970947,0.17499761283397675,1.0,0.9193547964096069,0.9571428894996643,0.9306735992431641,0.9304536581039429,
1107-07-05-08,41,0.008463121950626373,0.06637362390756607,0.03858228027820587,0.1754462718963623,0.07222224771976471,1.0,0.9879912734031677,0.9934226274490356,0.9316509962081909,0.9783549308776855,0.04927586764097214,0.3001118302345276,0.0842360407114029,0.17459432780742645,0.17426742613315582,1.0,0.9193547964096069,0.9571428894996643,0.9306735992431641,0.9311051964759827,
1107-07-05-08,42,0.008347531780600548,0.06495814770460129,0.04052809253334999,0.17112997174263,0.07121480256319046,1.0,0.990381121635437,0.9929328560829163,0.9340009689331055,0.9793078303337097,0.04928603768348694,0.30014535784721375,0.08424750715494156,0.1745678186416626,0.17550696432590485,1.0,0.9193547964096069,0.9571428894996643,0.9306735992431641,0.9304536581039429,
1107-07-05-08,43,0.008398483507335186,0.06497574597597122,0.039113711565732956,0.1704869270324707,0.07082218676805496,1.0,0.9902400970458984,0.9931039214134216,0.933924674987793,0.9792776107788086,0.04929865896701813,0.30019354820251465,0.08426017314195633,0.17453284561634064,0.17404904961585999,1.0,0.9193547964096069,0.9571428894996643,0.9306735992431641,0.9311051964759827,
1107-07-05-08,44,0.008419566787779331,0.06582716852426529,0.038665059953927994,0.1739344596862793,0.07127904146909714,1.0,0.9892867803573608,0.9931591153144836,0.9310134053230286,0.9785515666007996,0.04930824786424637,0.3002251386642456,0.08427764475345612,0.17450366914272308,0.17627929151058197,1.0,0.9193547964096069,0.9571428894996643,0.9306735992431641,0.9304536581039429,
1107-07-05-08,45,0.008521928451955318,0.06607254594564438,0.03971872478723526,0.1705724596977234,0.07125675678253174,1.0,0.9878806471824646,0.9925002455711365,0.9346842765808105,0.9787330627441406,0.049321260303258896,0.3002699613571167,0.08428429067134857,0.17447428405284882,0.17486435174942017,1.0,0.9193547964096069,0.9571428894996643,0.93079674243927,0.930574357509613,
1107-07-05-08,46,0.008495478890836239,0.0655684620141983,0.04019715264439583,0.17314252257347107,0.07189752161502838,1.0,0.9896129369735718,0.9921350479125977,0.9338977932929993,0.9788994193077087,0.04933333024382591,0.3003026247024536,0.08429928869009018,0.17444559931755066,0.1741197407245636,1.0,0.9193547964096069,0.9571428894996643,0.93079674243927,0.9312258958816528,
1107-07-05-08,47,0.008584498427808285,0.06815138459205627,0.04049764946103096,0.16538217663764954,0.07070659846067429,1.0,0.9888016581535339,0.9923778772354126,0.9358734488487244,0.9792321920394897,0.04932979866862297,0.30028387904167175,0.08429230749607086,0.17445966601371765,0.17552512884140015,1.0,0.9193547964096069,0.9571428894996643,0.93079674243927,0.930574357509613,
1107-07-05-08,48,0.008469060994684696,0.06488893181085587,0.039626140147447586,0.16546954214572906,0.069511279463768,1.0,0.9888527393341064,0.9925116300582886,0.9342329502105713,0.9789599180221558,0.049336694180965424,0.30030614137649536,0.08430270105600357,0.17443938553333282,0.17395220696926117,1.0,0.9193547964096069,0.9571428894996643,0.93079674243927,0.9312258958816528,
1107-07-05-08,49,0.008546547032892704,0.0651785135269165,0.03923569247126579,0.16028642654418945,0.0683944821357727,1.0,0.9896606802940369,0.993212103843689,0.9394049048423767,0.9805179238319397,0.04933928698301315,0.3003111481666565,0.08430732041597366,0.17443372309207916,0.17394082248210907,1.0,0.9193547964096069,0.9571428894996643,0.93079674243927,0.9312258958816528,
