ID, Epoch,Training_loss_Arthropod,Training_loss_Debris,Training_loss_mean,Training_acc_Arthropod,Training_acc_Debris,Training_acc_mean,Validation_loss_Arthropod,Validation_loss_Debris,Validation_loss_mean,Validation_acc_Arthropod,Validation_acc_Debris,Validation_acc_mean,
1007-06-11-29,13,0.3016108572483063,0.2762369215488434,0.28885552287101746,0.8750166893005371,0.8854767680168152,0.8802804946899414,0.28723305463790894,0.29701197147369385,0.28841105103492737,0.885728120803833,0.8768689036369324,0.8845856189727783,
1007-06-11-29,14,0.28495410084724426,0.259244829416275,0.27201607823371887,0.8832091093063354,0.8906349539756775,0.8869427442550659,0.2749670147895813,0.2831231355667114,0.27607816457748413,0.8914175033569336,0.8856639862060547,0.8906443119049072,
1007-06-11-29,15,0.26967281103134155,0.2480493038892746,0.2588560879230499,0.8911710977554321,0.8958555459976196,0.8935372233390808,0.2677699029445648,0.2611311376094818,0.2669524550437927,0.8927490711212158,0.8883025050163269,0.8922290205955505,
1007-06-11-29,16,0.26078924536705017,0.23876547813415527,0.24972128868103027,0.8942049145698547,0.9020437598228455,0.8981515765190125,0.2744219899177551,0.23499742150306702,0.26954442262649536,0.8910543322563171,0.8988566398620605,0.8919681906700134,
1007-06-11-29,17,0.2530502676963806,0.2262466996908188,0.23976804316043854,0.8981189727783203,0.9071963429450989,0.9026342034339905,0.25797995924949646,0.23705729842185974,0.25579962134361267,0.8985594511032104,0.9006156325340271,0.8987225294113159,
1007-06-11-29,18,0.24871575832366943,0.22126929461956024,0.23494556546211243,0.8988640904426575,0.9110528230667114,0.9049879312515259,0.24943484365940094,0.2343544363975525,0.24746644496917725,0.9027962684631348,0.9006156325340271,0.9025877118110657,
1007-06-11-29,19,0.249343141913414,0.21652892231941223,0.2328994870185852,0.9003301858901978,0.9141793847084045,0.9072619080543518,0.24577373266220093,0.2299063354730606,0.2437945455312729,0.9042488932609558,0.9006156325340271,0.9037666320800781,
1007-06-11-29,20,0.23848360776901245,0.20918181538581848,0.2237875759601593,0.9039209485054016,0.9177671074867249,0.9108776450157166,0.24325017631053925,0.23177112638950348,0.24190391600131989,0.9052172899246216,0.9006156325340271,0.904568612575531,
1007-06-11-29,21,0.2393144816160202,0.21122919023036957,0.22522510588169098,0.903567373752594,0.9165956974029541,0.910106360912323,0.24574826657772064,0.2285681515932083,0.24357490241527557,0.904127836227417,0.9006156325340271,0.9037569165229797,
1007-06-11-29,22,0.2427489161491394,0.21250051259994507,0.22758682072162628,0.9019784927368164,0.9151031374931335,0.9085638523101807,0.24448110163211823,0.228741854429245,0.24247843027114868,0.9050962328910828,0.9006156325340271,0.9045589566230774,
1007-06-11-29,23,0.2404247671365738,0.20741510391235352,0.22389326989650726,0.904201328754425,0.9187972545623779,0.9115159511566162,0.23845693469047546,0.2346484661102295,0.23827891051769257,0.9071540832519531,0.8997361063957214,0.906066358089447,
1007-06-11-29,24,0.24418936669826508,0.21325987577438354,0.22872909903526306,0.9014092087745667,0.9154888391494751,0.908445417881012,0.24049413204193115,0.2313275784254074,0.23957058787345886,0.9061856865882874,0.8997361063957214,0.9052643775939941,
1007-06-11-29,25,0.2347269505262375,0.20482517778873444,0.21976572275161743,0.9058822989463806,0.9179445505142212,0.9119294285774231,0.24304166436195374,0.22799502313137054,0.24119868874549866,0.9054593443870544,0.9023746252059937,0.9050421714782715,
1007-06-11-29,26,0.23650015890598297,0.21273693442344666,0.22474323213100433,0.9036746621131897,0.914874255657196,0.9092178344726562,0.24711085855960846,0.2228793054819107,0.24409660696983337,0.9042488932609558,0.9032541513442993,0.9041337966918945,
1007-06-11-29,27,0.24074241518974304,0.20541100203990936,0.22300848364830017,0.9047187566757202,0.91903156042099,0.9118895530700684,0.24004460871219635,0.22994372248649597,0.23875325918197632,0.9069119691848755,0.9023746252059937,0.9063659310340881,
1007-06-11-29,28,0.23763446509838104,0.20741301774978638,0.22250370681285858,0.9046695232391357,0.9184064269065857,0.9115304946899414,0.24359175562858582,0.22537386417388916,0.24131305515766144,0.9054593443870544,0.9023746252059937,0.9050904512405396,
1007-06-11-29,29,0.24045343697071075,0.20648859441280365,0.22344188392162323,0.9015763401985168,0.9180906414985657,0.9098549485206604,0.24012722074985504,0.22806258499622345,0.2385934591293335,0.9067909121513367,0.9023746252059937,0.9062596559524536,
1007-06-11-29,30,0.2372201681137085,0.20610059797763824,0.22172056138515472,0.9053758978843689,0.9211276173591614,0.9132459163665771,0.23959289491176605,0.22857706248760223,0.2384633719921112,0.9067909121513367,0.9023746252059937,0.9061630368232727,
1007-06-11-29,31,0.24021144211292267,0.20352473855018616,0.2219296395778656,0.9041263461112976,0.920648455619812,0.9123561382293701,0.2388770431280136,0.22930435836315155,0.23778121173381805,0.9070330262184143,0.9023746252059937,0.9064722657203674,
1007-06-11-29,32,0.23817262053489685,0.20356842875480652,0.22076094150543213,0.9055145382881165,0.9202900528907776,0.9129654169082642,0.23893608152866364,0.22916008532047272,0.2379710078239441,0.9070330262184143,0.9023746252059937,0.9064722657203674,
1007-06-11-29,33,0.23732049763202667,0.2087756097316742,0.22298704087734222,0.9057735800743103,0.9169476628303528,0.9113962650299072,0.23996247351169586,0.22797469794750214,0.2385118454694748,0.9066698551177979,0.9023746252059937,0.9062016010284424,
1007-06-11-29,34,0.23605358600616455,0.2100272923707962,0.22303342819213867,0.9059017300605774,0.9170037508010864,0.9114507436752319,0.24188446998596191,0.22582432627677917,0.23998919129371643,0.9059435725212097,0.9032541513442993,0.9056218862533569,
1007-06-11-29,35,0.2395774871110916,0.21041491627693176,0.22503337264060974,0.9043170809745789,0.9162754416465759,0.9102805256843567,0.24255292117595673,0.2250446379184723,0.24051043391227722,0.9059435725212097,0.904133677482605,0.9056799411773682,
1007-06-11-29,36,0.2435455024242401,0.2125309556722641,0.22803999483585358,0.9022411108016968,0.9153279066085815,0.908789873123169,0.24230381846427917,0.22527892887592316,0.2402571588754654,0.9059435725212097,0.904133677482605,0.9056799411773682,
1007-06-11-29,37,0.23815183341503143,0.20323479175567627,0.22069022059440613,0.9043399095535278,0.9203457832336426,0.9123427867889404,0.24218840897083282,0.22536206245422363,0.24009813368320465,0.9059435725212097,0.904133677482605,0.9056799411773682,
1007-06-11-29,38,0.23847034573554993,0.20841574668884277,0.2235533595085144,0.9032751321792603,0.9174651503562927,0.910332441329956,0.24004711210727692,0.22761547565460205,0.23840920627117157,0.9063067436218262,0.9023746252059937,0.9058827757835388,
1007-06-11-29,39,0.2432214766740799,0.20684584975242615,0.22508011758327484,0.9022504091262817,0.9174784421920776,0.909881591796875,0.240072563290596,0.22751082479953766,0.238553985953331,0.906427800655365,0.9023746252059937,0.9059407711029053,
1007-06-11-29,40,0.23410135507583618,0.21028758585453033,0.2220786213874817,0.9058845043182373,0.9168209433555603,0.9114095568656921,0.24017645418643951,0.22739535570144653,0.23868487775325775,0.906427800655365,0.9023746252059937,0.9058924913406372,
1007-06-11-29,41,0.2335384488105774,0.20779240131378174,0.22069697082042694,0.9058330655097961,0.9168623089790344,0.911331057548523,0.24021224677562714,0.22735543549060822,0.2385912537574768,0.906427800655365,0.9023746252059937,0.9059407711029053,
1007-06-11-29,42,0.23974953591823578,0.20962199568748474,0.22459381818771362,0.9035906791687012,0.9169872403144836,0.910332441329956,0.24025054275989532,0.22731168568134308,0.2388211190700531,0.906427800655365,0.9023746252059937,0.9058924913406372,
1007-06-11-29,43,0.23868104815483093,0.20693033933639526,0.22268438339233398,0.9047784805297852,0.9200772047042847,0.9124746322631836,0.24027200043201447,0.22728624939918518,0.23870696127414703,0.906427800655365,0.9023746252059937,0.9059407711029053,
1007-06-11-29,44,0.24099554121494293,0.20983360707759857,0.22545158863067627,0.9021310210227966,0.9171211123466492,0.9096143841743469,0.24026481807231903,0.22729258239269257,0.2387767732143402,0.906427800655365,0.9023746252059937,0.9059407711029053,
1007-06-11-29,45,0.24093693494796753,0.20874318480491638,0.2248162180185318,0.9025636911392212,0.9174818992614746,0.9100278615951538,0.24025213718414307,0.22730423510074615,0.2387179136276245,0.906427800655365,0.9023746252059937,0.9059407711029053,
1007-06-11-29,46,0.2352212369441986,0.2089480459690094,0.22209075093269348,0.9063104391098022,0.9184468984603882,0.9123803377151489,0.24027198553085327,0.2272808849811554,0.23861196637153625,0.906427800655365,0.9023746252059937,0.9059890508651733,
1007-06-11-29,47,0.24018263816833496,0.2106170952320099,0.22549615800380707,0.9025461077690125,0.9170146584510803,0.9097098112106323,0.24026347696781158,0.22728823125362396,0.2387050986289978,0.906427800655365,0.9023746252059937,0.9059407711029053,
1007-06-11-29,48,0.2341715544462204,0.20749305188655853,0.22075168788433075,0.9060806035995483,0.9172585606575012,0.9117154479026794,0.24032025039196014,0.2272241711616516,0.23880316317081451,0.906427800655365,0.9023746252059937,0.9058924913406372,
1007-06-11-29,49,0.2368447184562683,0.20823168754577637,0.22254280745983124,0.9045419692993164,0.9168710708618164,0.9107180833816528,0.24034038186073303,0.22720110416412354,0.23882026970386505,0.906427800655365,0.9023746252059937,0.9058441519737244,
